,v_e,v_h,a,t,pupil,subject
0,2.30869017116,1.70182088879,1.1460965011,0.392906435338,1.0,0
1,1.17243055595,0.817349276152,1.61342849973,0.433217952325,1.0,1
2,0.922842792571,0.646977074507,1.44785896314,0.37806547501,1.0,2
3,1.16368550943,0.823822652613,1.57894105997,0.48078210414,1.0,3
4,1.08875220722,0.727267793057,1.45471434935,0.484788689585,1.0,4
5,1.72501274154,1.17274750315,1.25208752112,0.483788462596,1.0,5
6,1.02216007426,0.784070558028,1.79596490375,0.432820900861,1.0,6
7,0.980566670865,0.678134563648,1.38261922024,0.432718090042,1.0,7
8,0.669742459816,0.567801357816,2.03235355707,0.823051487397,1.0,8
9,0.943656310947,0.699922376094,1.44407098779,0.423450215525,1.0,9
10,1.07924845644,0.832090822482,1.08237559702,0.435886959401,1.0,10
11,0.495072134613,0.346795777633,2.21861646974,0.393743495543,1.0,11
12,1.39171254792,1.05146901134,1.26947659168,0.413002460769,1.0,12
13,0.900853208747,0.785511970717,1.51649554173,0.472192710137,1.0,13
14,1.33603969749,0.938355715617,1.46799114825,0.491705688686,1.0,14
15,0.988439715372,0.785294948213,1.70935501996,0.428912259898,1.0,15
16,1.24191280384,0.857937290554,1.28306959032,0.506281671281,1.0,16
17,1.0330409917,0.675459517847,2.10132615753,0.359743424639,1.0,17
18,1.00904280616,0.834168558218,1.74705748036,0.507497568065,1.0,18
0,2.18204213008,1.71809089048,1.19265622822,0.381525802178,0.0,0
1,1.04300728093,0.709207367093,1.6060024355,0.45364703638,0.0,1
2,0.886567516999,0.604978772081,1.34801672633,0.38276211089,0.0,2
3,1.15050087188,0.863768392697,1.72152691579,0.483349734764,0.0,3
4,1.64751529433,1.04620390711,1.13300449385,0.472355741666,0.0,4
5,1.45819316179,1.07369736799,1.29738579282,0.480447880301,0.0,5
6,1.08012879164,0.805710011412,1.88858845178,0.53758190912,0.0,6
7,1.21374551856,0.988402847,1.28050394104,0.359607832871,0.0,7
8,0.894690645957,0.752220295692,2.04138610273,0.724921164628,0.0,8
9,1.000309898,0.748314499283,1.54302680193,0.386341953204,0.0,9
10,1.03393848088,0.798866658624,1.00868451061,0.415491014544,0.0,10
11,0.660391084131,0.533768294347,2.14443900942,0.501139567566,0.0,11
12,1.43363857824,1.16748594682,1.1543507109,0.407060712787,0.0,12
13,1.06496309972,0.830721206552,1.61413006107,0.495134231263,0.0,13
14,1.27531042357,1.07861132597,1.4255609257,0.538747694834,0.0,14
15,1.21110541806,0.839975658383,1.70498664707,0.415946809586,0.0,15
16,1.36120416854,0.986340950253,1.17042784351,0.502079575016,0.0,16
17,1.19640194137,0.843795938979,2.10121322895,0.426811090881,0.0,17
18,1.2434453192,0.933300125884,1.70392601276,0.512289673278,0.0,18
