,dc_drug,dc_drug_easy,dc_drug_hard,dc_plac,dc_plac_easy,dc_plac_hard
0,0.109416191275,0.0989453877614,0.119886994789,0.0424772331623,-0.0629366808177,0.147891147142
1,-0.0405461483238,-0.0966946963653,0.0156023997178,0.170353497493,0.206149007357,0.134557987629
2,0.0540371026238,0.0372621775162,0.0708120277313,0.0512538865899,0.0610365559995,0.0414712171803
3,-0.213159047607,-0.215439468621,-0.210878626593,-0.182982803475,-0.230761390084,-0.135204216865
4,0.0236225787991,-0.00103331233476,0.0482784699329,-0.108801028039,-0.0146560183593,-0.202946037718
5,-0.126771525633,-0.152582189852,-0.100960861414,0.0619328319633,0.201708744126,-0.0778430801991
6,-0.0438647958702,-0.107506601637,0.0197770098967,0.0767456661719,0.057928677154,0.0955626551899
7,-0.0727842714571,-0.0201237010236,-0.125444841891,-0.0781609093623,-0.10362924076,-0.0526925779646
8,-0.0403426445449,-0.0276951848887,-0.052990104201,0.0463830931712,0.0750302105277,0.0177359758147
9,-0.00242621182229,-0.00157611977694,-0.00327630386764,0.163406478779,0.133956873586,0.192856083971
10,0.0172994172099,-0.0109970865357,0.0455959209555,0.0449751369611,0.0677831514368,0.0221671224854
11,-0.124736925822,-0.132260011589,-0.117213840055,0.195717937149,0.144651221913,0.246784652384
12,0.182587359133,0.238141520432,0.127033197835,0.0153585362405,0.00234761526496,0.0283694572161
13,0.0209181160745,-0.0642270399066,0.106063272056,-0.0620370866824,0.0422660908416,-0.166340264206
14,-0.0609289435915,-0.0966161508006,-0.0252417363823,-0.14454714808,-0.243399002036,-0.0456952941241
15,-0.132635891795,-0.142955457242,-0.122316326348,-0.128666960706,-0.115783934608,-0.141549986804
16,0.0735916331957,0.072344856144,0.0748384102474,0.0145309337748,0.0399983170917,-0.0109364495421
