,v_e,v_h,a,t,drug,subject
0,1.18408843674,0.80623403007,1.62238240447,0.494840573285,1,1
1,0.936146529492,0.674293808114,1.44374415535,0.445786195755,1,2
2,1.07252148872,0.791722852579,1.58798664056,0.550126347496,1,3
3,1.36829773602,0.899584387132,1.27378699637,0.562582476845,1,4
4,1.5175830217,0.772447150974,1.27847049192,0.565123691658,1,5
5,1.09604450998,0.793497343078,1.72400506091,0.498510241395,1,6
6,1.05451700986,0.749113971017,1.36886148698,0.498472232177,1,7
7,0.686549247878,0.525038301869,2.14417529193,0.793767191022,1,8
8,0.938290452806,0.737413593839,1.4814892589,0.487115810791,1,9
9,1.08827826356,0.840981295262,1.08305505044,0.505514001201,1,10
10,0.460053266232,0.335053526748,2.21409383425,0.460863716079,1,11
11,1.37138895735,1.02560659185,1.30884065039,0.468817392206,1,12
12,0.941913047765,0.794767239436,1.5280911711,0.532455438497,1,13
13,1.34689324055,0.979459704764,1.4396206982,0.570727548986,1,14
14,0.829114032753,0.700102016782,1.66589730011,0.510717585156,1,15
15,1.22375530087,0.886647520649,1.26616983465,0.576535003946,1,16
16,0.972934863242,0.660990589154,2.10659931543,0.423083328637,1,17
17,1.03921889749,0.81009889794,1.71940603786,0.569807592519,1,18
0,1.09680019585,0.747225554874,1.59609258807,0.526199762905,0,1
1,0.948694333154,0.62211835966,1.30714306963,0.456458991544,0,2
2,1.09563634649,0.915908101056,1.69055008842,0.550161047698,0,3
3,1.69130328905,1.1197929049,1.10303798773,0.53680008379,0,4
4,1.4680469012,0.88600509906,1.338935617,0.570065805538,0,5
5,1.03732100205,0.823352596328,1.81901442957,0.598313964719,0,6
6,1.19427657154,1.03681013404,1.23946076512,0.429426821501,0,7
7,0.875078482987,0.747521397215,2.03633807725,0.775354222747,0,8
8,1.00360557909,0.701495589558,1.54373220395,0.452077188379,0,9
9,1.0624127367,0.675643640724,1.039765232,0.473966851797,0,10
10,0.610668671899,0.490733493241,2.10611363148,0.593905346281,0,11
11,1.40861020986,1.1144875375,1.15708653896,0.467516537596,0,12
12,1.1083858319,0.823009946683,1.6042976916,0.561712027384,0,13
13,1.29681603437,1.11329112598,1.40896260027,0.612382864177,0,14
14,1.11773579974,0.784420540538,1.59579021326,0.48839367685,0,15
15,1.37222065873,0.977013751409,1.1558090419,0.568439985589,0,16
16,1.13879414981,0.827178346836,2.10435653479,0.493358031114,0,17
17,1.23964323519,0.922133008404,1.69494273408,0.573358907438,0,18
