,v_e,v_h,a,t,drug,subject
0,1.15363764049,0.792606261414,1.6469603504,0.493650174164,1,1
1,0.876533426949,0.607950302224,1.48758232081,0.444796317551,1,2
2,1.11898936915,0.762381108508,1.62799994823,0.536489802514,1,3
3,1.050095206,0.690257062889,1.53192838068,0.542843481698,1,4
4,1.62768722506,1.1172511559,1.31232058062,0.541372630211,1,5
5,1.0074998935,0.784157745689,1.8358203825,0.499329871466,1,6
6,0.898854871446,0.624563677758,1.46665789436,0.491039707495,1,7
7,0.65669437318,0.537309169902,2.22964647476,0.75670801735,1,8
8,0.907748706446,0.705751019277,1.4709833019,0.486903240089,1,9
9,1.05991670287,0.795412853496,1.10260825743,0.502174323689,1,10
10,0.499612252677,0.35185986604,2.24082346677,0.456898463774,1,11
11,1.37233241686,1.04955936223,1.2929879399,0.475099203876,1,12
12,0.904453047851,0.787454317172,1.54370776779,0.530918004907,1,13
13,1.32653131084,0.918683212842,1.4732641509,0.56381461267,1,14
14,0.956836880159,0.780699261861,1.71563576573,0.498722856108,1,15
15,1.21563144001,0.862571201762,1.28501356574,0.576499461242,1,16
16,1.01524200464,0.667047991433,2.12588233758,0.424265263403,1,17
17,0.990926535825,0.800706744802,1.7813400676,0.570140417154,1,18
0,1.0049088025,0.716405824238,1.63442400895,0.520377181357,0,1
1,0.895497295835,0.600994291821,1.36707376794,0.451525613471,0,2
2,1.1149912912,0.872819392956,1.76544612121,0.551243702269,0,3
3,1.52441741888,1.03610758399,1.17396843701,0.533533618448,0,4
4,1.33215161076,1.00276191555,1.35124170764,0.543370083696,0,5
5,1.04866117513,0.790703281044,1.94202529832,0.603834939777,0,6
6,1.14474358194,0.858890027712,1.36048075635,0.422267252276,0,7
7,0.857000925718,0.734432149767,2.05724209426,0.79585401455,0,8
8,0.974593704505,0.72525467917,1.56291331516,0.450424279426,0,9
9,1.00216720981,0.797308110982,1.0537163001,0.475512009911,0,10
10,0.662930189337,0.536049539795,2.16381321434,0.559866081534,0,11
11,1.39791165295,1.13250057693,1.17964033165,0.467885384272,0,12
12,1.081803292,0.827334550217,1.63399218327,0.562298837393,0,13
13,1.27486392729,1.05733036676,1.44269870943,0.607024110862,0,14
14,1.19652756471,0.850509570929,1.7418375878,0.480188661806,0,15
15,1.34193358758,0.949536383145,1.19547908028,0.56777206756,0,16
16,1.20521364311,0.847718795557,2.13933894261,0.492195919146,0,17
17,1.22082609262,0.907463187686,1.73199504134,0.573243386628,0,18
